ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.55,13.04,52.62,7.31,0.48
27.06,13.64,52.04,7.05,0.2
26.47,13.15,53.13,7.17,0.07
26.54,12.86,52.75,7.64,0.21
25.54,13.86,53.05,7.26,0.3
26.27,13.24,53.27,6.99,0.23
26.02,13.58,52.28,7.76,0.37
26.67,13.68,52.48,7.07,0.09
26.19,12.81,52.99,7.76,0.24
26.54,14.0,52.19,7.14,0.14
26.65,13.3,52.43,7.39,0.23
26.71,13.29,53.01,6.86,0.12
26.15,12.53,54.09,7.03,0.19
25.84,13.06,53.47,7.53,0.09
25.37,13.65,53.58,7.07,0.33
25.96,13.31,53.14,7.53,0.06
26.74,13.16,52.49,7.41,0.2
26.38,14.02,52.03,7.47,0.1
26.51,13.68,52.45,7.12,0.23
25.76,13.55,53.29,7.13,0.27
27.06,13.05,52.42,7.32,0.15
26.1,13.72,52.04,7.94,0.2
26.58,12.21,53.03,7.95,0.22
26.98,13.07,52.86,6.9,0.19
26.21,13.15,52.8,7.79,0.06
27.15,13.95,51.85,6.97,0.08
26.71,13.18,52.52,7.31,0.29
26.32,13.25,52.88,7.21,0.34
26.2,12.77,53.5,7.45,0.08
26.77,13.95,52.0,6.96,0.32
26.37,13.19,52.39,7.88,0.17
26.47,13.48,52.78,7.14,0.13
26.38,13.21,52.98,7.21,0.23
26.11,14.07,51.8,7.67,0.34
26.57,13.31,52.97,6.99,0.17
25.45,14.21,52.26,7.86,0.23
26.39,13.19,53.51,6.76,0.15
26.88,13.41,51.69,7.7,0.32
25.92,14.34,52.6,7.04,0.1
25.92,13.69,53.35,6.82,0.23
26.13,13.63,52.57,7.5,0.17
26.75,13.74,52.34,6.98,0.2
26.67,13.14,52.82,7.19,0.18
26.33,13.39,52.56,7.39,0.33
26.39,13.25,52.89,7.31,0.17
26.97,13.01,53.13,6.83,0.06
26.77,13.09,52.76,7.14,0.23
28.18,11.74,52.76,7.23,0.09
26.61,13.71,52.59,6.96,0.14
27.05,12.87,53.01,6.89,0.19
26.56,13.21,53.37,6.75,0.12
26.68,13.45,52.39,7.24,0.24
26.16,13.31,52.92,7.3,0.31
26.1,13.58,52.9,7.29,0.12
26.33,13.31,52.97,7.3,0.1
27.09,13.5,52.14,7.13,0.13
26.94,13.58,51.9,7.4,0.19
26.39,13.12,52.75,7.57,0.17
26.74,13.41,52.54,7.13,0.18
26.85,13.91,52.11,7.03,0.11
26.71,12.79,53.3,7.05,0.15
27.48,13.58,51.78,6.94,0.21
26.52,12.99,52.78,7.56,0.15
26.67,12.51,53.01,7.73,0.08
26.05,13.35,52.78,7.55,0.27
26.49,13.23,52.63,7.28,0.38
27.29,13.09,52.88,6.61,0.13
26.44,12.92,53.38,7.08,0.17
26.11,13.34,52.64,7.59,0.32
27.07,12.74,52.93,6.86,0.39
25.94,12.74,53.56,7.49,0.26
26.69,13.17,52.97,6.94,0.22
26.64,12.42,53.05,7.74,0.16
26.27,13.4,52.65,7.51,0.17
25.81,13.63,52.87,7.55,0.14
26.45,13.44,52.45,7.44,0.22
27.61,12.88,52.4,6.83,0.28
26.12,13.53,52.61,7.58,0.17
25.68,13.71,52.75,7.58,0.28
26.43,13.5,52.1,7.76,0.21
26.14,13.89,52.48,7.32,0.17
25.96,13.32,53.48,6.99,0.24
25.99,13.42,53.15,7.28,0.17
25.73,13.15,52.38,8.5,0.24
25.66,14.49,51.12,8.4,0.32
26.67,13.13,52.03,7.91,0.26
26.64,13.34,52.49,7.39,0.14
26.71,13.53,52.6,7.06,0.1
26.99,12.94,52.84,7.04,0.18
27.35,12.44,52.43,7.58,0.2
26.16,12.04,53.54,8.19,0.08
26.34,14.26,52.12,7.21,0.07
26.12,13.2,53.44,7.1,0.14
26.47,13.8,52.59,7.02,0.12
26.91,13.6,51.98,7.32,0.19
26.6,13.08,52.69,7.54,0.08
27.87,11.75,53.25,6.74,0.38
26.38,12.61,52.39,8.04,0.59
26.29,13.33,53.06,7.11,0.21
25.85,14.21,52.22,7.6,0.12
26.18,13.41,52.91,7.24,0.26
26.02,13.37,52.91,7.6,0.1
26.51,13.34,52.48,7.51,0.16
26.46,13.4,52.19,7.7,0.25
26.95,13.19,52.56,7.11,0.19
26.27,13.55,53.2,6.85,0.13
26.33,12.99,52.96,7.3,0.42
26.36,13.64,52.15,7.63,0.22
26.7,12.95,52.95,7.14,0.26
26.66,13.24,53.07,6.68,0.35
25.69,13.0,52.92,8.05,0.34
26.81,13.1,52.81,7.02,0.25
26.12,12.93,53.33,7.53,0.09
27.42,12.75,52.81,6.89,0.12
25.54,14.22,52.42,7.8,0.02
26.04,13.76,52.14,7.86,0.21
26.5,12.89,53.26,7.2,0.15
26.5,13.37,51.91,7.95,0.27
26.62,13.05,53.45,6.83,0.06
27.25,13.31,52.51,6.81,0.12
25.72,12.93,53.75,7.5,0.11
26.49,12.99,52.96,7.27,0.29
26.77,13.37,52.93,6.77,0.16
26.7,13.35,52.13,7.59,0.24
27.17,13.12,52.33,7.28,0.1
26.25,13.52,53.2,6.81,0.22
25.92,13.21,53.06,7.7,0.1
26.37,13.06,53.14,7.27,0.16
26.64,12.78,53.1,7.41,0.07
25.8,13.42,53.37,7.13,0.27
27.32,12.88,52.41,7.22,0.17
26.12,12.93,53.43,7.22,0.3
26.1,12.87,53.53,7.36,0.13
26.67,13.36,52.62,6.95,0.4
26.82,12.91,52.86,7.04,0.36
26.0,13.44,53.43,6.99,0.14
26.36,13.28,53.2,6.96,0.2
25.95,14.02,52.64,7.26,0.12
26.34,13.12,52.87,7.32,0.35
26.57,13.4,52.56,7.23,0.24
26.3,12.85,53.07,7.57,0.22
26.69,13.72,52.2,7.23,0.16
27.05,12.58,53.24,6.98,0.15
27.35,13.09,52.38,6.95,0.23
26.82,13.22,52.5,7.23,0.22
26.82,13.77,52.13,7.1,0.18
26.87,13.22,52.41,7.43,0.07
25.81,14.19,52.43,7.48,0.09
26.23,13.16,53.06,7.19,0.37
27.25,12.99,52.13,7.45,0.18
26.08,13.78,52.54,7.42,0.18
26.7,12.14,53.19,7.87,0.11
25.68,15.18,52.43,6.54,0.17
26.05,13.74,52.19,7.78,0.25
26.62,12.99,52.88,7.33,0.19
26.25,13.55,52.72,7.29,0.19
26.52,13.32,52.48,7.6,0.08
26.64,13.13,53.04,6.93,0.26
26.6,13.22,52.71,7.18,0.28
26.23,14.07,52.84,6.75,0.12
26.88,12.29,53.15,7.57,0.11
26.73,13.28,52.39,7.46,0.14
26.41,13.45,52.49,7.31,0.34
25.75,13.85,53.33,7.03,0.05
27.52,13.05,52.29,6.98,0.16
26.94,12.75,53.03,6.99,0.29
26.52,13.06,53.02,7.16,0.24
26.12,13.33,52.9,7.47,0.19
26.49,12.65,52.81,7.9,0.15
28.18,11.5,53.41,6.66,0.26
26.84,12.55,53.25,7.03,0.32
27.0,13.09,52.47,7.25,0.19
25.55,13.34,53.31,7.54,0.26
26.0,13.27,52.67,7.71,0.35
27.05,13.03,52.37,7.32,0.23
25.26,14.17,52.26,7.4,0.91
26.63,13.37,52.72,7.09,0.19
26.55,13.59,52.55,7.19,0.11
25.33,13.04,53.77,7.68,0.18
26.63,13.12,53.03,6.99,0.23
26.93,12.03,53.86,7.11,0.08
26.58,13.1,52.83,7.25,0.24
25.98,13.83,52.41,7.6,0.17
26.31,13.89,52.02,7.2,0.6
26.28,13.47,52.69,7.38,0.19
26.14,13.23,53.14,7.37,0.13
26.99,12.89,52.86,7.04,0.22
27.5,13.33,51.95,7.17,0.05
27.46,12.93,52.59,6.86,0.15
26.95,12.66,54.06,6.17,0.16
26.39,14.0,52.51,7.04,0.05
26.64,13.14,52.59,7.37,0.26
26.5,13.16,52.54,7.67,0.14
27.11,13.64,52.02,7.03,0.19
26.67,13.09,52.55,7.31,0.38
26.36,13.25,53.04,7.07,0.28
26.46,13.55,52.18,7.59,0.22
26.91,13.19,52.75,7.05,0.11
27.04,12.95,53.05,6.84,0.12
26.42,14.9,51.88,6.52,0.28
26.27,12.96,53.48,7.01,0.28
26.17,13.61,51.74,8.3,0.18
26.3,12.95,53.32,7.27,0.16
26.98,13.45,52.08,7.18,0.32
26.15,13.32,53.31,6.94,0.28
27.67,12.53,52.4,7.21,0.19
25.46,13.13,54.68,6.41,0.32
26.34,13.09,52.0,8.27,0.31
26.26,13.21,52.96,7.33,0.24
26.91,12.91,52.87,7.03,0.29
26.82,13.53,52.31,7.15,0.2
26.21,14.58,51.99,6.85,0.36
26.19,13.23,52.93,7.44,0.21
27.04,12.97,52.7,7.07,0.23
26.8,13.01,52.66,7.38,0.14
26.69,12.82,53.1,7.2,0.19
26.8,13.52,52.2,7.29,0.19
26.34,13.78,52.31,7.41,0.16
25.96,13.37,53.0,7.37,0.3
26.47,13.42,52.54,7.33,0.23
26.7,13.36,52.71,7.03,0.2
25.54,13.81,53.01,7.34,0.29
26.96,13.62,52.17,7.03,0.22
26.84,13.94,52.08,6.93,0.21
26.3,12.96,52.98,7.5,0.25
25.79,13.5,52.79,7.72,0.21
26.86,13.75,51.9,7.31,0.18
26.98,13.38,52.04,7.42,0.18
26.2,13.46,53.05,7.14,0.15
27.5,12.81,52.91,6.69,0.08
27.15,13.03,52.93,6.78,0.11
26.29,13.31,52.87,7.31,0.22
26.48,12.91,52.64,7.75,0.21
28.17,12.56,52.14,6.94,0.19
26.93,12.95,52.91,6.96,0.26
26.48,13.23,53.24,6.8,0.25
26.7,13.37,52.38,7.32,0.24
26.14,14.5,51.57,7.33,0.46
26.23,13.19,53.23,7.13,0.23
26.09,13.86,52.42,7.46,0.17
26.79,13.05,52.7,7.3,0.16
27.02,12.92,52.82,7.07,0.17
26.35,13.47,52.51,7.55,0.13
26.91,12.75,52.3,7.8,0.23
27.41,13.01,52.3,7.21,0.08
25.82,13.22,53.76,6.94,0.26
25.96,13.11,53.18,7.64,0.11
26.73,13.34,52.17,7.51,0.25
27.25,13.16,52.51,6.84,0.24
27.13,12.02,53.39,7.39,0.07
25.04,12.59,53.15,8.05,1.17
26.79,13.08,52.5,7.45,0.18
26.81,12.74,52.8,7.56,0.1
26.76,13.37,51.95,7.58,0.33
26.83,12.89,53.22,6.9,0.16
26.61,13.36,52.43,7.34,0.26
26.17,13.14,53.37,6.99,0.34
27.16,12.7,52.73,7.37,0.04
26.32,12.9,53.11,7.45,0.22
27.31,12.58,52.89,7.02,0.2
25.96,13.35,53.34,7.18,0.17
26.43,13.04,52.26,7.88,0.39
26.16,12.95,53.11,7.58,0.21
27.21,13.32,52.01,7.29,0.17
27.68,12.61,52.65,6.86,0.2
27.23,13.04,52.65,6.86,0.22
25.54,15.45,51.78,6.44,0.79
26.45,13.47,52.79,7.17,0.12
26.61,13.28,52.56,7.33,0.22
26.26,13.4,53.31,6.82,0.21
26.69,13.44,52.35,7.22,0.31
25.88,13.28,53.23,7.4,0.21
27.08,13.63,51.99,7.18,0.12
26.62,13.23,52.58,7.35,0.22
26.9,13.66,52.23,7.08,0.13
26.19,13.07,52.01,8.36,0.37
27.42,12.81,52.24,7.34,0.19
27.68,13.19,52.15,6.79,0.19
25.39,14.31,52.57,7.66,0.07
26.83,13.21,52.61,7.2,0.15
26.84,13.18,52.45,7.32,0.21
26.5,14.75,51.95,6.64,0.17
26.17,13.21,52.66,7.72,0.23
26.4,13.52,52.49,7.37,0.21
26.54,13.07,52.73,7.5,0.16
26.15,13.4,52.75,7.52,0.18
25.41,13.73,52.26,8.55,0.04
26.52,13.03,52.94,7.2,0.3
26.03,13.45,53.07,7.25,0.2
26.58,12.63,53.78,6.74,0.26
26.16,12.66,53.68,7.27,0.23
26.24,13.25,52.98,7.26,0.26
26.29,13.01,53.26,7.25,0.2
26.1,13.33,52.63,7.71,0.23
26.26,13.48,52.82,7.17,0.26
27.02,13.32,52.26,7.17,0.23
26.32,13.06,52.93,7.45,0.24
26.89,13.26,52.16,7.41,0.28
25.12,14.66,51.47,7.67,1.08
26.56,12.85,53.15,7.29,0.15
26.61,13.39,52.44,7.46,0.1
27.01,12.64,53.24,7.06,0.05
26.43,13.15,53.21,6.94,0.27
26.5,12.92,53.16,7.25,0.17
26.27,13.02,53.16,7.4,0.13
26.31,13.64,52.73,7.15,0.17
26.42,13.77,52.13,7.55,0.12
25.61,14.29,52.77,7.13,0.2
25.97,14.14,52.3,7.32,0.27
26.96,13.13,52.68,7.11,0.12
26.64,13.34,52.66,7.18,0.18
26.64,13.2,53.26,6.74,0.16
27.2,13.44,51.85,7.24,0.28
26.55,13.49,52.91,7.02,0.03
27.06,12.91,52.47,7.33,0.23
26.0,13.58,52.85,7.27,0.3
26.85,13.38,52.46,7.1,0.22
26.73,13.73,52.26,7.08,0.2
25.0,14.49,53.36,6.89,0.27
25.99,13.42,53.01,7.4,0.18
26.66,13.24,52.37,7.56,0.17
26.71,13.31,52.58,7.19,0.21
26.44,13.27,52.47,7.7,0.13
26.61,11.3,53.87,7.93,0.3
25.66,13.35,53.59,7.28,0.12
26.03,13.83,52.24,7.69,0.2
26.34,13.28,52.69,7.5,0.19
26.68,13.19,52.89,6.9,0.33
27.5,12.7,53.09,6.49,0.22
25.82,13.02,53.68,7.41,0.07
26.55,13.29,52.67,7.18,0.3
26.45,13.42,52.63,7.31,0.19
25.54,12.95,53.27,8.13,0.12
26.68,12.86,53.23,7.15,0.08
26.01,12.04,53.52,8.36,0.07
26.26,13.37,52.8,7.48,0.09
26.4,13.61,52.41,7.36,0.22
26.35,13.23,52.92,7.21,0.29
26.31,13.16,53.1,7.11,0.32
26.61,13.23,52.51,7.48,0.17
26.92,13.16,52.48,7.29,0.16
27.04,12.74,53.19,6.74,0.29
25.99,13.3,52.92,7.62,0.18
26.02,13.34,53.26,7.24,0.15
26.44,13.18,52.65,7.41,0.32
26.59,13.51,52.25,7.43,0.22
26.77,13.09,53.08,6.9,0.17
28.1,13.06,51.08,7.28,0.48
25.86,13.7,52.93,7.36,0.16
25.51,13.16,53.32,7.96,0.05
27.4,12.7,52.72,7.04,0.14
26.83,13.53,52.5,6.96,0.18
26.8,13.19,52.5,7.31,0.2
26.53,13.24,52.9,7.1,0.22
26.74,13.51,52.47,7.11,0.18
26.55,14.42,51.82,7.17,0.05
25.99,13.25,52.95,7.59,0.22
26.36,13.82,52.59,7.04,0.19
26.7,13.64,52.25,7.15,0.26
27.11,13.17,52.31,7.25,0.16
26.52,13.3,52.83,7.22,0.13
26.86,13.08,52.68,7.16,0.22
26.54,13.73,52.95,6.62,0.17
25.83,13.3,52.96,7.78,0.14
27.04,13.34,52.26,7.15,0.21
26.21,13.09,53.49,7.06,0.15
25.88,12.64,53.34,7.98,0.17
26.62,13.27,52.42,7.28,0.41
26.59,12.89,52.62,7.64,0.25
25.59,14.19,52.46,7.16,0.59
27.04,13.78,52.25,6.79,0.15
26.37,13.35,52.86,7.3,0.11
26.59,12.65,52.99,7.48,0.28
26.46,13.04,52.95,7.31,0.24
27.36,12.75,52.62,7.13,0.15
26.06,13.48,53.36,6.91,0.2
26.25,12.88,53.54,7.21,0.11
25.93,13.83,52.66,7.39,0.18
25.65,13.37,53.43,7.48,0.06
26.54,13.28,52.83,7.14,0.21
27.26,13.03,52.34,7.19,0.17
26.36,13.32,52.59,7.53,0.19
26.87,13.95,51.8,7.24,0.14
26.52,12.97,52.95,7.26,0.3
26.8,13.28,52.66,7.11,0.14
26.02,13.35,52.98,7.45,0.19
26.17,12.98,52.97,7.75,0.14
26.92,13.97,51.89,6.82,0.4
26.12,13.28,52.55,7.9,0.15
26.44,13.54,53.0,6.94,0.08
26.48,13.76,52.7,6.95,0.11
26.26,13.14,52.74,7.68,0.18
26.26,13.02,53.47,7.06,0.19
26.17,13.68,52.69,7.27,0.19
26.57,13.85,52.24,7.25,0.09
26.16,13.36,52.32,7.71,0.45
26.7,13.52,52.48,7.08,0.22
26.11,13.52,53.01,6.98,0.37
26.29,13.22,53.03,7.26,0.21
26.32,13.34,52.54,7.51,0.29
26.94,12.39,54.09,6.39,0.2
26.53,12.49,53.18,7.67,0.12
26.77,13.41,52.45,7.22,0.15
26.5,12.97,52.61,7.62,0.29
26.13,14.31,52.01,7.15,0.4
26.32,12.97,52.98,7.49,0.23
25.98,13.18,53.93,6.65,0.25
26.22,13.16,52.51,7.8,0.31
25.61,13.24,53.53,7.37,0.26
26.54,13.44,52.26,7.56,0.2
27.0,12.55,52.94,7.37,0.15
26.86,13.11,53.03,6.84,0.17
26.5,13.15,52.62,7.36,0.37
25.82,13.52,53.48,6.82,0.36
27.3,12.55,53.99,6.06,0.09
25.94,14.23,52.19,7.51,0.13
26.44,13.31,52.87,7.28,0.09
26.46,12.54,53.26,7.57,0.17
26.62,13.09,52.48,7.6,0.22
25.9,13.96,52.48,7.54,0.13
26.22,13.27,53.08,7.2,0.22
25.7,12.74,53.9,7.49,0.18
26.65,13.92,51.97,7.33,0.13
27.43,13.05,52.23,7.14,0.15
26.04,13.75,52.4,7.63,0.18
26.87,13.29,52.17,7.44,0.23
26.56,13.31,52.63,7.25,0.24
26.28,13.68,52.84,6.99,0.2
26.98,13.28,52.6,7.01,0.13
25.66,12.26,53.71,8.22,0.15
26.99,13.14,52.63,7.0,0.25
27.2,13.22,53.29,6.09,0.21
26.28,13.4,52.49,7.64,0.2
26.77,13.17,52.52,7.36,0.19
26.76,13.25,52.39,7.48,0.12
25.42,14.33,52.83,7.29,0.13
26.48,13.43,52.78,7.09,0.22
26.46,13.65,52.54,7.15,0.2
26.25,13.53,53.0,6.94,0.28
26.33,13.56,52.65,7.22,0.23
26.87,12.83,52.96,7.02,0.31
26.14,13.14,53.11,7.33,0.29
26.06,13.33,52.04,8.13,0.43
26.84,13.15,52.97,6.87,0.17
25.46,13.46,53.73,7.05,0.29
26.44,13.19,53.1,7.11,0.16
26.31,13.31,52.75,7.33,0.31
26.38,13.61,52.83,6.89,0.3
26.08,13.38,53.19,7.15,0.18
26.5,13.28,52.62,7.4,0.21
26.78,13.36,52.23,7.32,0.31
26.6,13.54,52.54,7.03,0.29
26.57,13.08,53.1,7.09,0.16
27.03,12.64,52.86,7.26,0.22
27.09,12.66,52.92,7.0,0.32
26.07,14.16,51.93,7.34,0.5
26.95,13.77,52.08,7.11,0.09
26.64,13.5,52.74,7.02,0.1
26.11,13.47,52.91,7.05,0.45
25.74,13.44,53.02,7.55,0.25
26.67,13.6,52.44,7.23,0.06
26.83,13.15,52.65,7.16,0.21
26.27,13.88,52.05,7.26,0.55
26.55,13.84,52.44,7.06,0.11
26.1,12.7,52.73,8.28,0.19
26.57,13.39,52.47,7.33,0.24
26.28,13.38,52.83,7.26,0.24
26.71,13.16,52.97,7.12,0.04
26.17,12.39,53.28,7.96,0.2
26.65,13.13,52.93,7.08,0.21
27.49,12.58,52.61,7.07,0.25
25.35,13.97,53.95,6.54,0.19
26.03,13.07,53.05,7.58,0.26
26.5,13.04,53.01,7.25,0.2
26.63,13.62,52.08,7.56,0.11
26.11,12.98,53.26,7.42,0.22
26.53,13.22,52.8,7.2,0.25
26.19,13.64,52.75,7.24,0.18
26.85,13.06,52.64,7.28,0.17
26.44,13.39,52.34,7.48,0.35
26.18,13.1,52.97,7.55,0.2
26.35,12.17,53.92,7.53,0.04
26.96,13.61,52.54,6.77,0.11
27.2,13.01,52.21,7.39,0.2
26.18,13.08,52.81,7.69,0.23
26.6,13.42,52.33,7.45,0.2
27.01,13.02,53.1,6.76,0.1
26.75,12.95,52.49,7.62,0.18
26.54,13.26,52.57,7.42,0.21
26.62,13.54,52.4,7.32,0.11
26.67,12.61,53.72,6.91,0.08
26.47,13.07,53.32,6.94,0.21
25.92,13.56,52.23,7.82,0.47
26.69,14.17,51.34,7.4,0.39
25.5,13.84,52.74,7.72,0.2
26.75,13.15,52.59,7.23,0.27
26.31,13.18,53.14,7.16,0.21
26.58,13.41,52.78,6.8,0.43
26.2,13.4,53.28,6.89,0.22
26.12,13.45,52.88,7.36,0.19
26.76,13.5,52.47,7.06,0.21
26.69,13.24,52.57,7.24,0.27
26.94,13.53,52.45,6.86,0.22
26.05,13.96,52.2,7.38,0.4
26.71,13.35,52.6,7.25,0.09
26.35,13.83,52.52,7.07,0.23
26.76,13.3,52.49,7.17,0.27
26.1,13.43,52.73,7.63,0.11
26.32,12.88,53.07,7.66,0.09
26.6,13.02,52.95,7.15,0.29
25.31,14.33,52.44,7.78,0.15
26.57,13.42,52.42,7.36,0.23
26.27,13.51,53.03,7.05,0.14
26.35,13.44,52.92,7.19,0.1
25.06,13.43,54.76,6.59,0.16
26.35,13.38,52.9,7.21,0.17
26.12,13.49,52.99,7.34,0.07
27.02,12.89,52.84,7.07,0.18
26.14,12.78,53.71,7.31,0.07
26.75,13.45,52.11,7.41,0.28
26.19,13.78,52.5,7.15,0.38
26.3,13.49,52.77,7.24,0.21
26.89,13.28,52.46,7.25,0.13
26.86,13.37,52.16,7.27,0.34
25.84,13.58,52.42,7.8,0.36
26.77,13.37,52.41,7.26,0.19
26.27,13.29,52.91,7.28,0.25
26.84,13.09,52.62,7.17,0.27
27.12,12.83,52.96,6.94,0.14
26.58,13.5,52.09,7.69,0.15
25.26,14.0,52.54,7.96,0.24
26.69,12.61,53.75,6.68,0.27
26.88,13.09,53.01,6.84,0.18
26.47,12.97,52.8,7.62,0.14
26.14,13.01,52.39,8.13,0.33
26.99,12.7,52.79,7.11,0.41
26.12,13.64,53.13,6.87,0.24
26.89,14.03,52.27,6.67,0.15
26.22,13.67,52.66,7.29,0.16
27.08,13.18,52.72,6.92,0.11
26.8,13.62,52.15,7.25,0.19
26.7,13.27,52.51,7.3,0.23
27.33,12.41,53.4,6.47,0.39
26.7,13.02,52.38,7.66,0.25
26.07,13.39,53.16,7.28,0.1
27.32,13.01,52.74,6.74,0.19
26.07,14.33,51.82,7.22,0.55
26.22,13.7,52.86,6.98,0.25
26.59,13.09,52.81,7.36,0.15
27.33,12.92,52.38,7.17,0.2
26.74,13.12,52.76,7.26,0.13
26.29,13.34,52.83,7.33,0.21
26.06,13.38,52.49,7.98,0.08
26.4,13.9,52.26,7.05,0.39
27.21,13.26,52.35,7.04,0.14
26.72,13.2,52.92,6.94,0.22
26.11,13.82,52.49,7.35,0.24
27.15,12.91,52.54,7.19,0.21
26.76,12.97,52.78,7.29,0.21
26.42,13.2,52.76,7.38,0.24
27.6,12.99,51.89,7.4,0.12
26.08,13.62,52.07,7.94,0.28
26.72,13.65,52.43,7.13,0.08
25.63,12.58,54.12,7.58,0.08
26.06,13.7,52.76,7.38,0.1
25.91,13.59,52.72,7.54,0.24
26.4,13.24,52.79,7.45,0.11
26.41,13.41,52.6,7.43,0.15
25.98,13.56,53.33,7.05,0.08
27.65,12.6,52.42,7.19,0.13
25.98,13.43,52.88,7.5,0.21
26.67,13.39,52.64,7.09,0.21
27.84,12.14,53.25,6.51,0.26
26.25,13.42,52.85,7.2,0.28
26.8,13.21,52.5,7.21,0.28
27.22,12.64,52.67,7.31,0.16
26.27,13.68,52.22,7.62,0.23
25.77,13.66,53.37,6.84,0.36
26.18,13.04,53.23,7.36,0.19
26.35,13.46,52.94,7.15,0.1
26.57,12.86,53.09,7.38,0.09
26.18,13.47,52.65,7.47,0.23
26.9,13.89,51.5,7.46,0.24
26.67,13.19,52.79,7.08,0.26
27.3,13.01,52.16,7.24,0.3
26.4,13.96,51.96,7.15,0.53
25.67,14.26,53.02,6.92,0.14
26.5,13.12,52.68,7.51,0.2
25.75,13.35,53.13,7.56,0.22
26.52,13.66,52.6,7.1,0.12
26.1,13.3,52.67,7.73,0.21
26.63,13.27,52.77,7.01,0.32
26.66,13.13,52.67,7.35,0.19
26.23,13.44,52.3,7.63,0.39
26.64,13.23,52.76,7.17,0.2
26.82,12.89,52.75,7.35,0.18
26.85,13.36,52.55,7.08,0.16
25.84,13.49,53.41,7.05,0.21
26.27,13.35,52.82,7.24,0.32
26.42,13.0,52.92,7.36,0.3
26.78,13.13,53.07,6.8,0.22
26.62,13.59,52.18,7.24,0.37
26.5,13.18,53.1,7.1,0.13
26.88,12.94,52.83,7.25,0.11
26.16,13.56,52.56,7.26,0.45
26.67,13.42,52.6,7.15,0.17
25.37,12.64,53.93,7.92,0.14
27.09,12.95,52.83,6.95,0.18
26.31,13.45,52.72,7.32,0.21
25.84,14.25,52.09,7.73,0.1
25.57,13.58,52.98,7.62,0.25
26.78,13.41,52.3,7.29,0.21
26.92,13.4,52.22,7.18,0.27
26.15,13.24,52.87,7.5,0.25
25.99,13.91,52.84,7.04,0.22
26.74,12.99,52.6,7.47,0.2
27.1,13.18,52.5,7.09,0.14
25.98,14.81,52.39,6.69,0.13
25.78,14.06,52.34,7.7,0.12
26.29,14.08,52.52,7.06,0.05
26.82,13.73,52.32,7.1,0.04
26.84,12.78,53.39,6.66,0.33
27.25,12.99,52.21,7.34,0.21
26.23,13.32,52.99,7.27,0.2
25.81,14.32,51.63,7.62,0.62
26.66,14.8,51.5,6.57,0.48
26.38,13.38,52.38,7.71,0.16
27.15,12.85,52.83,7.03,0.15
26.3,11.73,53.08,8.73,0.16
27.04,13.43,52.1,7.29,0.13
26.75,13.06,52.24,7.62,0.32
26.09,13.86,52.84,7.1,0.11
26.98,13.14,52.5,7.14,0.24
26.7,13.6,52.16,7.28,0.27
27.35,12.79,52.76,6.84,0.26
26.04,13.8,52.15,7.4,0.61
26.23,14.03,52.82,6.87,0.05
25.82,14.0,53.25,6.72,0.21
26.69,14.02,52.05,7.14,0.1
26.77,13.03,52.91,7.06,0.23
26.89,13.36,52.16,7.39,0.2
27.65,12.13,53.68,6.34,0.2
26.45,12.24,53.3,7.54,0.47
26.18,13.65,52.57,7.41,0.19
26.11,13.51,52.32,7.67,0.38
26.67,13.08,52.9,7.19,0.16
26.85,13.42,52.42,7.22,0.09
26.18,13.48,52.62,7.57,0.15
26.83,12.96,52.48,7.6,0.13
26.94,13.21,52.92,6.86,0.07
26.39,12.91,53.12,7.41,0.18
27.5,13.18,51.79,7.28,0.26
27.67,12.93,52.51,6.73,0.15
26.57,12.88,52.84,7.54,0.17
26.15,13.24,53.03,7.29,0.29
26.71,14.03,51.77,7.34,0.14
27.02,12.92,52.93,6.98,0.14
25.68,13.84,52.78,7.4,0.3
26.33,13.54,52.62,7.27,0.24
26.14,13.71,52.34,7.53,0.28
26.12,12.22,53.3,7.87,0.49
26.58,13.75,52.29,7.24,0.13
26.4,12.83,53.17,7.31,0.3
26.19,12.91,53.08,7.67,0.15
26.95,12.79,52.59,7.55,0.13
26.17,13.04,53.74,6.89,0.15
26.51,13.31,52.59,7.18,0.4
26.48,12.93,52.86,7.53,0.2
26.78,13.17,52.55,7.2,0.3
26.56,13.08,52.76,7.41,0.18
25.43,12.17,53.53,8.85,0.03
27.02,13.36,52.41,6.97,0.25
26.85,14.23,51.71,7.17,0.04
26.71,13.35,52.22,7.42,0.31
26.58,13.22,52.8,7.18,0.21
26.61,13.8,51.87,7.56,0.15
26.66,12.94,52.74,7.56,0.1
26.32,13.65,52.76,6.86,0.41
27.5,12.93,52.39,7.1,0.07
26.62,12.5,52.96,7.75,0.18
27.0,12.8,52.92,7.1,0.19
25.58,14.0,52.66,7.71,0.04
26.76,13.12,52.22,7.68,0.21
26.51,13.57,52.57,7.17,0.19
27.22,13.39,51.94,7.16,0.3
26.51,13.21,52.84,7.22,0.22
25.86,14.01,51.99,7.82,0.32
26.55,13.2,52.75,7.32,0.18
26.2,13.71,52.82,7.16,0.11
26.25,13.68,52.12,7.8,0.16
25.88,13.62,53.07,7.34,0.09
26.22,13.2,52.66,7.77,0.14
26.48,13.27,52.63,7.37,0.24
26.58,13.66,52.59,7.03,0.14
25.86,13.21,53.99,6.7,0.25
25.77,12.44,53.7,7.8,0.28
26.74,13.02,53.02,7.14,0.08
25.84,13.36,53.14,7.53,0.13
